"id","faculty_name","faculty_designation","faculty_organisation","faculty_linkedin","image_name","added_date","modified_date","status"
"146","Trishala Trivedi","Principal Associate at Khaitan & Co | Advocate on Record, Supreme Court of India",NULL,"https://www.linkedin.com/in/trishala-trivedi-5a750451/?originalSubdomain=in","Not_Given","1626702372",NULL,"A"
"147","Bhargav Kosuru","Senior Associate at IndusLaw",NULL,"https://www.linkedin.com/in/bhargav-kosuru-07052265/","bhargav-kosuru-1626703520.jpg","1626703520",NULL,"A"
"148","Irshaan Singh Kakar","Advocate",NULL,"https://www.linkedin.com/in/irshaan-singh-kakar-07375529/","irshaan-singh-kakar-1626773850.jpg","1626773850",NULL,"A"
"149","Devanshu Khanna","Senior Associate and Registered Patent Agent at Singh & Singh Law Firm LLP",NULL,"https://www.linkedin.com/in/devanshu-khanna-63115450/","devanshu-khanna-1626773963.jpg","1626773963",NULL,"A"
"150","Parker Smith","Attorney (IP & Technology Transactions) & Founder at CoreServe Legal",NULL,"https://www.linkedin.com/in/smithparker/","parker-smith-1626774166.jpg","1626774166",NULL,"A"
"151","Naren Theppeta","US Patent Attorney, India Patent Agent/Advocate at Law Firm of Naren Thappeta",NULL,"https://www.linkedin.com/in/thappeta/","Not_Given","1626774269",NULL,"A"
"152","Katherine Abraham","Research Assistant to Dr. Shashi Tharoor, Communications Specialist, International Public Speaker, Published Author",NULL,"https://www.linkedin.com/in/katherine-abraham-69063430/","katherine-abraham-1626774455.jpg","1626774455",NULL,"A"
"153","Akshay Gupta","Counsel at Trilegal",NULL,"https://www.linkedin.com/in/akshay-gupta-53667853/?originalSubdomain=in","akshay-gupta-1626774962.jpg","1626774962",NULL,"A"
"154","Jayantika Ganguly","Lawyer. Writer. Sherlockian. Traveller. Dreamer. Life Coach.",NULL,"https://www.linkedin.com/in/jayantika-ganguly-649b7421/","jayantika-ganguly-1627136027.jpg","1627136027",NULL,"A"
"155","Amrutha Vittal","Partner, Peritum Partners",NULL,,"Not_Given","1627143167",NULL,"A"
"156","Debarupa Agarwala","Counsel, American Express | Ex-HSA | Ex-SAM",NULL,,"Not_Given","1627143241",NULL,"A"
"157","Janaksinh Jhala","Principal Associate, Khaitan & Co.",NULL,,"Not_Given","1627143290",NULL,"A"
"158","Kshitij Asthana","Associate with Crawford Bayley & Co. Advocates & Solicitors",NULL,,"Not_Given","1627143366",NULL,"A"
