"id","course_id","module_name","added_date","modified_date","status"
"1042","181","Building a Supreme Court Practice","2022-02-19 12:37:30",NULL,"A"
"1043","181","Researching and Studying Impugned Order and Judgments","2022-02-19 12:38:41",NULL,"A"
"1044","181","Drafting","2022-02-19 12:39:43",NULL,"A"
"1045","181","Filing & other procedures","2022-02-19 12:44:55",NULL,"A"
"1046","181","Preparation for Hearings including Briefing a Senior Advocate","2022-02-19 12:46:27",NULL,"A"
"1047","181","Webinars with Supreme Court practitioners","2022-02-19 12:47:29",NULL,"A"
"1048","181","Professional Ethics","2022-02-19 12:49:13",NULL,"A"
"1049","181","Leading Cases","2022-02-19 12:51:46",NULL,"A"
"1050","181","Question Bank and Past Year Analysis","2022-02-19 12:53:52",NULL,"A"
"1051","182","Jurisdiction of NCLT under Company law","2022-02-20 05:51:23",NULL,"A"
"1052","182","Types of companies and matters relating to existence or dissolution of companies","2022-02-20 05:52:20",NULL,"A"
"1053","182","Basic concepts related to the management of companies and matters related to oppression and mismanagement","2022-02-20 05:55:00",NULL,"A"
"1054","182","Initiation of insolvency by a financial creditor","2022-02-20 05:56:13",NULL,"A"
"1055","182","Initiation of insolvency by an operational creditor","2022-02-20 05:57:51",NULL,"A"
"1056","182","Initiation of insolvency by corporate debtor","2022-02-20 05:59:48",NULL,"A"
"1057","182","Aftermath of filing an application for initiation of insolvency","2022-02-20 06:00:21",NULL,"A"
"1058","182","Constitution of Committee of Creditors and filing of claims","2022-02-20 06:01:01",NULL,"A"
"1059","182","Admission/Rejection of claims","2022-02-20 06:01:51",NULL,"A"
"1060","182","Meetings of CoC and their duties","2022-02-20 06:02:33",NULL,"A"
"1061","182","Role and duties of the resolution professional","2022-02-20 06:03:10",NULL,"A"
"1062","182","Inviting prospective resolution applicants","2022-02-20 06:03:26",NULL,"A"
"1063","182","Approval/Rejection of resolution plan by NCLT","2022-02-20 06:04:03",NULL,"A"
"1064","182","Appeals from NCLT orders under Companies Act and IBC to NCLAT","2022-02-20 06:04:46",NULL,"A"
"1065","182","Filing a Civil Appeal before the Supreme Court","2022-02-20 06:05:39",NULL,"A"
"1066","182","Other matters adjudicated by NCLT","2022-02-20 06:06:03",NULL,"A"
"1067","182","Recovery Litigation Under SARFAESI Act and RDB Act","2022-02-20 06:06:36",NULL,"A"
"1068","182","Recovery Litigation: Civil suits","2022-02-20 06:07:19",NULL,"A"
"1069","182","Dispute resolution under RERA","2022-02-20 06:08:12",NULL,"A"
"1070","182","Interaction of RERA with other legislations","2022-02-20 06:09:36",NULL,"A"
"1071","182","Commercial Courts Act, 2015","2022-02-20 06:11:12",NULL,"A"
"1072","185","Role and expectations from a virtual assistant","2022-03-15 06:25:46","2022-08-10 02:39:37","A"
"1073","185","Organizational design of a funded startup/mid-sized organization","2022-03-15 06:27:13","2022-03-25 11:23:14","A"
"1074","185","Document design, structure and review","2022-03-15 06:28:00","2022-08-10 02:39:23","A"
"1075","185","Key software to be an effective virtual assistant","2022-03-15 06:29:48",NULL,"A"
"1076","185","Maintenance of records and documentation","2022-03-15 06:31:21","2022-08-10 02:39:13","A"
"1077","185","Formal and Informal communication","2022-03-15 06:32:25","2022-08-10 02:39:02","A"
"1078","185","E-mail communication","2022-03-15 06:33:51","2022-08-10 02:38:51","A"
"1079","185","Communicating on telephone calls, audio conference calls and WhatsApp","2022-03-15 06:34:42",NULL,"A"
"1080","185","Calendar Management","2022-03-15 06:36:06","2022-08-10 02:38:42","A"
"1081","185","Meeting Management","2022-03-15 06:37:00","2022-08-10 02:34:34","A"
"1082","185","How to Assist on Operations and Administrative Work","2022-03-15 06:38:03","2022-08-10 02:34:13","A"
"1083","185","Project Management","2022-03-15 06:39:27",NULL,"A"
"1084","185","Conducting basic research","2022-03-15 06:40:32","2022-08-10 02:33:59","A"
"1085","185","Knowledge Management in an organisation","2022-03-15 06:41:37","2022-08-10 02:26:35","A"
"1086","185","Marketing","2022-03-15 06:42:41","2022-08-10 02:26:24","A"
"1087","185","Social Media Marketing and Management","2022-03-15 06:44:09","2022-08-10 02:25:57","A"
"1088","185","Website and Blog Management","2022-03-15 06:45:20",NULL,"A"
"1089","185","Navigating and using freelancing platforms","2022-03-15 06:46:22",NULL,"A"
"1090","185","Ensure up-keep of office premises and smooth operation of office facilities","2022-03-25 04:45:14","2022-08-10 02:25:43","A"
"1091","185","Manage vendors for procurement of office supplies and services","2022-03-25 04:51:01","2022-08-10 02:25:27","A"
"1092","185","Maintain and issue office stationery and supplies","2022-03-25 05:00:10","2022-08-10 02:25:17","A"
"1093","185","Organise for local transport and out-station ticketing for staff in co-ordination with travel vendor","2022-03-25 05:05:44","2022-08-10 02:25:08","A"
"1094","185","Organize for readiness of meeting rooms and venues for office meetings and events","2022-03-25 05:10:08","2022-08-10 02:24:55","A"
"1095","185","Use computers to store, retrieve and communicate information","2022-03-25 05:24:19","2022-08-10 02:24:43","A"
"1096","185","Workplace safety","2022-03-25 05:29:33","2022-08-10 02:24:34","A"
"1097","185","Fire safety","2022-03-25 05:33:40","2022-08-10 02:24:22","A"
"1098","185","Emergency, Rescue and First Aid","2022-03-25 05:36:01","2022-08-10 02:24:13","A"
"1099","185","Communicating with Colleagues (Seniors, Peers and Subordinates)","2022-03-25 05:39:20","2022-08-10 02:23:59","A"
"1100","185","Communicating with Clients and Visitors","2022-03-25 05:42:57","2022-08-10 02:23:46","A"
"1110","186","Importance of content writing","2022-05-06 03:44:05",NULL,"A"
"1111","186","Popular content-writing types and formats","2022-05-06 03:46:27",NULL,"A"
"1112","186","How to structure an article","2022-05-06 03:48:41",NULL,"A"
"1113","186","Writing the article","2022-05-06 03:50:56",NULL,"A"
"1114","186","Guest posts","2022-05-06 03:53:45",NULL,"A"
"1115","186","How to write a whitepaper","2022-05-06 03:54:38",NULL,"A"
"1116","186","How to write a newsletter","2022-05-06 03:55:59",NULL,"A"
"1117","186","SEO","2022-05-06 03:57:04",NULL,"A"
"1118","186","How to prepare onboarding content","2022-05-06 03:57:50",NULL,"A"
"1119","186","How to write a high conversion landing page","2022-05-06 03:58:36",NULL,"A"
"1120","186","How to write an email funnel","2022-05-06 04:00:59",NULL,"A"
"1121","186","How to create brochures or write website content","2022-05-06 04:02:18",NULL,"A"
"1122","157","CIPP Europe","2022-05-22 12:48:53","2022-05-22 01:14:11","A"
"1123","157","CIPP Canada","2022-05-22 12:55:02","2022-05-22 01:13:48","A"
"1124","157","CIPP US","2022-05-22 02:40:31",NULL,"A"
