"id","course_industry_id","course_id","industries_id","status","added_date","modified_date"
"289","40","40","9","A","1573758907",NULL
"290","40","40","19","A","1573758907",NULL
"291","40","40","33","A","1573758907",NULL
"292","41","41","6","A","1573760155",NULL
"293","41","41","7","A","1573760155",NULL
"294","41","41","8","A","1573760155",NULL
"295","41","41","9","A","1573760155",NULL
"296","41","41","19","A","1573760155",NULL
"297","41","41","33","A","1573760155",NULL
"298","42","42","6","A","1573765812",NULL
"299","42","42","7","A","1573765812",NULL
"300","42","42","8","A","1573765812",NULL
"301","42","42","9","A","1573765812",NULL
"302","42","42","19","A","1573765812",NULL
"303","42","42","33","A","1573765812",NULL
"304","11","9","11","A","1573799059",NULL
"305","11","9","12","A","1573799059",NULL
"306","11","9","13","A","1573799059",NULL
"307","11","9","14","A","1573799059",NULL
"308","11","9","15","A","1573799059",NULL
"309","11","9","16","A","1573799059",NULL
"310","11","9","17","A","1573799059",NULL
"311","11","9","18","A","1573799059",NULL
"312","11","9","19","A","1573799059",NULL
"313","11","9","20","A","1573799059",NULL
"314","8","8","1","A","1573903814",NULL
"315","8","8","6","A","1573903814",NULL
"316","8","8","7","A","1573903814",NULL
"317","8","8","8","A","1573903814",NULL
"318","8","8","9","A","1573903814",NULL
"319","43","61","6","A","1574350134",NULL
"320","43","61","7","A","1574350134",NULL
"321","43","61","8","A","1574350134",NULL
"322","43","61","9","A","1574350134",NULL
"323","43","61","19","A","1574350134",NULL
"324","43","61","33","A","1574350134",NULL
"325","44","62","6","A","1574360194",NULL
"326","44","62","7","A","1574360194",NULL
"327","44","62","8","A","1574360194",NULL
"328","44","62","9","A","1574360194",NULL
"329","44","62","19","A","1574360194",NULL
"330","44","62","33","A","1574360194",NULL
"331","4","4","1","A","1575370917",NULL
"332","4","4","6","A","1575370917",NULL
"333","4","4","7","A","1575370917",NULL
"334","4","4","8","A","1575370917",NULL
"335","4","4","9","A","1575370917",NULL
"336","45","72","1","A","1579508338",NULL
"337","45","72","6","A","1579508338",NULL
"338","45","72","7","A","1579508338",NULL
"339","45","72","8","A","1579508338",NULL
"340","45","72","9","A","1579508338",NULL
"341","45","72","19","A","1579508338",NULL
"342","45","72","20","A","1579508338",NULL
"343","45","72","21","A","1579508338",NULL
"344","45","72","33","A","1579508338",NULL
"345","46","74","6","A","1585151445",NULL
"346","46","74","7","A","1585151445",NULL
"347","46","74","8","A","1585151445",NULL
"348","46","74","9","A","1585151445",NULL
"349","46","74","19","A","1585151445",NULL
"350","46","74","33","A","1585151445",NULL
"351","46","74","36","A","1585151445",NULL
"352","47","75","6","A","1586346474",NULL
"353","47","75","7","A","1586346474",NULL
"354","47","75","8","A","1586346474",NULL
"355","47","75","9","A","1586346474",NULL
"356","47","75","32","A","1586346474",NULL
"357","47","75","36","A","1586346474",NULL
"376","50","71","2","A","1595582843",NULL
"377","50","71","3","A","1595582843",NULL
"378","50","71","4","A","1595582843",NULL
"379","50","71","7","A","1595582843",NULL
"380","50","71","8","A","1595582843",NULL
"381","50","71","12","A","1595582843",NULL
"382","50","71","19","A","1595582843",NULL
"383","50","71","25","A","1595582843",NULL
"384","50","71","32","A","1595582843",NULL
"385","50","71","33","A","1595582843",NULL
"386","50","71","34","A","1595582843",NULL
"387","50","71","35","A","1595582843",NULL
"388","50","71","38","A","1595582843",NULL
"389","51","98","1","A","1598948456",NULL
