"id","person_name","person_designation","person_organisation","person_linkedin","person_website_link","status","image_name","added_date","modified_date"
"108","Saurabh Biswas","Executive Director I Medical Device Entrepreneur I Inventor I Faculty @ Texas A&M Engineering",NULL,"https://www.linkedin.com/in/saurabhbiswas/",,"A","Saurabh Biswas-1601120725.jpg","1601120725",NULL
"109","Saurabh Vishnubhakat","Professor of Law at Texas A&M University School of Law",NULL,"https://www.linkedin.com/in/vishnubhakat/",,"A","Saurabh Vishnubhakat-1601570628.jpg","1601453610","1601570628"
"110","Vignesh Raj","Advocate, AKS Partners, Ex-LawSikho, Symbiosis Law School, Pune",NULL,"https://www.linkedin.com/in/vignesh--raj/?originalSubdomain=in",,"A","Vignesh Raj-1601824135.jpg","1601824135","1618658678"
"111","Ashwini Chawla","Independent Advocate, Ex-AZB, Ex-Khaitan, Ex-Trilegal, NUJS",NULL,"https://www.linkedin.com/in/ashwinichawla/?originalSubdomain=in",,"A","Ashwini Chawla-1601824241.jpg","1601824241","1618656187"
"112","LawSikho","Technology alone isn't going to improve student achievement. The best combination is great teachers working with technology to engage students in the pursuit of the learning they need.",NULL,"https://www.linkedin.com/company/lawsikho/","https://lawsikho.com/","A","LawSikho-1607160806.png","1607160501","1607160806"
"113","Test Jhon academia Doe","Advocate",NULL,,,"D","test-jhon-academia-doe-1612934428.jpg","1612934381","1612934489"
"114","Test by tech team","Advocate",NULL,,,"D","test-by-tech-team-1613562504.jpg","1613562459","1613562582"
"115","Tariq Khan","(Principal Associate, Advani & Co, BW’s youngest 40 under 40 lawyer",NULL,"https://www.linkedin.com/in/tariqahmadkhan/",,"A","tariq-khan-1616876027.jpg","1616876027",NULL
"116","Aniket Aggarwal","Commercial litigator, Ex-LawSikho",NULL,"https://www.linkedin.com/in/aniket-a-498563bb/",,"A","aniket-aggarwal-1617804292.jpg","1617804292","1618666876"
"117","Abhishek Pareek","Senior Associate, Lawsikho, Former IP Attorney, Ennoble IP",NULL,"https://www.linkedin.com/in/abhishek-pareek-95314b190/",,"A","abhishek-pareek-1617804349.jpeg","1617804349","1617805309"
"118","Kalpana Rathore","Research Scientist",NULL,"https://www.linkedin.com/in/kalpana-rathore-991a4419/",,"A","kalpana-rathore-1617805061.jpg","1617805061",NULL
"119","Ankit Bhargava","Intellectual Property Attorney- Advocate- Freelancer- Certified Global Paralegal Expert.",NULL,"https://www.linkedin.com/in/ankit-bhargava-1b19b8200/",,"A","ankit-bhargava-1618648164.jpg","1617805118","1618648165"
"120","Manjit Bhalla","Senior Associate Advocate -S. S Rana & Co., IP & Corporate Law Firm, New Delhi, India",NULL,"https://www.linkedin.com/in/manjit-bhalla-71abb488/",,"A","manjit-bhalla-1617805176.jpg","1617805176",NULL
"121","Divya Seth","Dual-licensed lawyer - NY and India, NLU Jodhpur Masters in Law from University of Pennsylvania",NULL,"https://www.linkedin.com/in/divya-seth-49b8b228/",,"A","divya-seth-1618593481.jpg","1618593481","1618656166"
"122","Abhishek Singhal","Independent Practitioner, ex-Saikrishna & Associates, ex-L.S. Davar and Co. ex- Masilamani Law Partners",NULL,,,"A","abhishek-singhal-1620899742.png","1620899742",NULL
"123","Abir Roy","Co-founder - Sarvada Legal",NULL,"https://www.linkedin.com/in/abir-roy-16706018/?originalSubdomain=in",,"A","abir-roy-1627135238.jpg","1627135238",NULL
"124","Ashima Obhan","Partner, Obhan & Associates, Former Senior Associate at AZB & Partners",NULL,,,"D","ashima-obhan-1627135303.png","1627135303","1627140924"
"125","Deeksha Anand","Principal Associate, Sujata Chaudhri IP Attorneys",NULL,,,"A","deeksha-anand-1627135524.png","1627135524",NULL
"126","Himanshu Bhatt","Senior Associate, Remfry & Sagar",NULL,,,"A","himanshu-bhatt-1627135630.png","1627135630",NULL
"127","Sutapa Jana","Principal Associate, Lashmikumaran and Sridharan",NULL,,,"A","sutapa-jana-1627135768.png","1627135768",NULL
"128","Karthik Jaikumar","Founding Partner, Peritum Partners",NULL,,,"A","Not_Given","1627137641",NULL
"129","ASHIMA  OBHAN","Partner, Obhan & Associates, Former Senior Associate at AZB & Partners",NULL,,,"A","Not_Given","1627140946",NULL
"130","Debopama Roy","Assistance Manager Legal, OYO",NULL,"https://www.linkedin.com/in/debopama-roy-6bab2012/",,"A","debopama-roy-1627143056.jpg","1627143056",NULL
"131","Aparajita Gupta","Lawyer | Placements Head at LawSikho | Want to hire trained legal talent at no cost? Get in touch! | Environment Law Enthusiast |",NULL,"https://www.linkedin.com/in/aparajitagupta-careercoach/",,"A","aparajita-gupta-1628934391.jpg","1628934391",NULL
"132","Pooja Jagwani","Founder at Buzz Up Marketing | LinkedIn Marketer | Social Media Marketer | Contributing to B2B businesses in scaling up, with Lead Generation",NULL,"https://www.linkedin.com/in/pooja-jagwani/",,"A","pooja-jagwani-1628934807.jpg","1628934446","1628934808"
"133","Priyanka Karwa","Head of Freelance Training Services at LawSikho",NULL,"https://www.linkedin.com/in/priyanka-karwa-4a6a75111/",,"A","priyanka-karwa-1628934492.jpg","1628934492",NULL
"134","Sapna Sarda","Principal Associate at LawSikho | Founder @ Legal Recourse | Corporate Lawyer | Associate Company Secretary",NULL,"https://www.linkedin.com/in/sapna-sarda-788591174/",,"A","sapna-sarda-1642079641.jpeg","1642079641",NULL
"135","CS Gaurav Pingle","Practising CS, Author - Handbook on Securities Laws, RPTs, Virtual Meetings, Interests: Corporate Governance & FEMA",NULL,"https://www.linkedin.com/in/gaurav-pingle-3a4aa417/",,"A","cs-gaurav-pingle-1642084208.jpeg","1642084208",NULL
"136","CS Pallavi Parihar","Fellow Company Secretary. Academician",NULL,"https://www.linkedin.com/in/cspallaviparihar/",,"A","cs-pallavi-parihar-1642086232.jpeg","1642084299","1642086233"
"137","CS Kalyani Shirode","Company Secretary, Authored books for Taxmann Publications",NULL,"https://www.linkedin.com/in/cs-kalyani-shirode-34ba7987/",,"A","cs-kalyani-shirode-1642084358.jpeg","1642084358",NULL
"138","Pawanshree Agrawal","Advocate on Record- Supreme Court of India, practising before the Supreme Court of India, various High Courts, NCDRC, NCLT & NCLAT, CESTAT amongst other tribunals and forums.",NULL,,,"A","pawanshree-agrawal-1645259019.png","1645257470","1645259019"
"139","Siddharth","Advocate on Record, Supreme Court of India practising before the Supreme Court of India & High Court of Delhi",NULL,,,"A","siddharth-1667403374.jpeg","1667403374",NULL
"140","Bhaskar Anand","WBNUJS, Kolkata",NULL,,,"A","bhaskar-anand-1669095980.jpeg","1669095980","1669098725"
"141","Tarun Nautiyal","AIR 112, CLAT PG 2022 Mock Test",NULL,,,"A","tarun-nautiyal-1669096065.jpeg","1669096065","1669098740"
"142","Masoom Reza","NLSIU Bangalore, CLAT PG 2022 Mock Test",NULL,,,"A","udit-choudhary-1669098646.jpeg","1669098646","1669098697"
"143","Udit Choudhary","WBNUJS, Kolkata",NULL,,,"A","udit-choudhary-1669098714.jpeg","1669098714",NULL
"144","Karen Rea","Karen has been a Barrister for 40 years and presently she works with various healthcare and financial sector Regulators in the capacity of a Legal Adviser/Assessor to Panels/Committees sitting in thei",NULL,"https://www.linkedin.com/in/karen-rea-she-her-aba01924",,"A","karen-rea-1685776741.jpg","1685776741",NULL
