"id","title","status","url_masking","ap_portal_course_catagory_id"
318,"IBPS SO  Law Officer 2026-27 Prelims Mock Test Series","A","ibps-so--law-officer-2026-27-prelims-mock-test-series",5
319,"RAJASTHAN JUDICIAL SERVICES, 2025 : MAINS TEST SERIES","A","rajasthan-judicial-services-2025--mains-test-series",5
320,"West Bengal Civil Judge (JUNIOR DIVISION) Prelims 2023 (happening in 2025) Exam","A","west-bengal-civil-judge-junior-division-prelims-2023-happening-in-2025-exam",5
321,"AI-Powered UK Corporate Law Paralegal Practice","A","ai-powered-uk-corporate-law-paralegal-practice",10
310,"Arunachal Pradesh Civil Judge (Junior Division) 2025 Prelims Mock Test Series","A","arunachal-pradesh-civil-judge-junior-division-2025-prelims-mock-test-series",5
312,"APO/ADPO & State Prosecution Services Exam — Legal Studies and Preparation by LawSikho","A","apoadpo-state-prosecution-services-exam-legal-studies-and-preparation-by-lawsikho",5
317,"AI-Powered Corporate Law Paralegal Practice(US)","A","ai-powered-corporate-law-paralegal-practice",10
323,"Arunachal Pradesh JUDICIAL SERVICES, 2025 :  MAINS TEST SERIES","A","arunachal-pradesh-judicial-services-2025---mains-test-series",5
291,"CUET PG (LLM)  Mock Test Series","A","cuet-pg-llm--mock-test-series",5
322,"UTTARAKHAND JUDICIAL SERVICES, 2025 :  MAINS TEST SERIES","A","uttarakhand-judicial-services-2025---mains-test-series",5
68,"SEBI Grade A Legal Officers' Test Prep Course","A","sebi-grade-a-legal-officers-test-prep-crash-course",5
295,"Kerala Civil Judge (Junior Division) Prelims Mock Test Series","A","kerala-civil-judge-junior-division-prelims-mock-test-series",5
96,"Test course By Tech team mb","A","test-course-by-tech-team",19
325,"Certificate Course in Competition Law, Practice And Enforcement","A","certificate-competition-antitrust-cci-practice-enforcement",11
196,"Executive Certificate Course in Prevention of Sexual Harassment at Workplace in International Organisations: US, UK, Canada, Singapore and Dubai","A","executive-certificate-course-in-prevention-of-sexual-harassment-at-workplace-in-international-organisations-us-uk-canada-singapore-and-dubai",11
224,"Diploma in International Data Protection and Privacy Laws","A","certificate-course-in-international-data-protection-and-privacy-laws",1
332,"iHub, IIT Roorkee & LawSikho jointly present: Executive Certificate in AI Transformation for Legal Professionals","A","ihub-iit-roorkee-and-lawsikho-9",10
333,"iHub, IIT Roorkee & LawSikho jointly present: Advanced Certificate in Patent Search, Analysis & Mapping","A","ihub-iit-roorkee-and-lawsikho-8",10
334,"iHub, IIT Roorkee & LawSikho jointly present: Certified International Market Entry Specialist","A","ihub-iit-roorkee-and-lawsikho-7",10
200,"Training Program on How to Use Generative AI for Career Growth for Senior Professionals","A","training-program-on-how-to-use-generative-ai-for-career-growth-for-senior-professionals",11
257,"Project Maverick ( CLAT & OTHER UNDER GRADUATE LAW ENTRANCE EXAM COACHING)","A","project-maverick",5
243,"BarHacker - Crack All India Bar Exam","A","barhacker---crack-all-india-bar-exam",5
129,"Paralegal Associate Diploma","A","paralegal-associate-diploma",1
